Date;hours;energy
20171211;17;2341,33
20171211;18;2717,279
20171211;19;2951,437
20171211;20;3071,965
20171211;21;3091,54
20171211;22;3172,788
20171211;23;3216,587
20171211;24;3109,115
20171212;1;3117,988
20171212;2;3234,424
20171212;3;3318,903
20171212;4;3362,89
20171212;5;3338,475
20171212;6;3443,56
20171212;7;3599,629
20171212;8;3886,381
20171212;9;3918,441
20171212;10;3996,213
20171212;11;4274,168
20171212;12;4632,779
20171212;13;4848,251
20171212;14;5027,94
20171212;15;5055,375
20171212;16;4919,081
20171212;17;4943,004
20171212;18;4896,227
20171212;19;4809,142
20171212;20;4585,515
20171212;21;4419,416
20171212;22;4292,443
20171212;23;4128,841
20171212;24;3975,439
20171213;1;3723,301
20171213;2;3263,754
20171213;3;3072,103
20171213;4;2941,955
20171213;5;2684,84
20171213;6;2463,862
20171213;7;2299,339
20171213;8;2266,135
20171213;9;2049,538
20171213;10;1885,238
20171213;11;1838,851
20171213;12;1806,853
20171213;13;1904,682
20171213;14;2047,364
20171213;15;2285,876
20171213;16;2831,527
20171213;17;3390,277
20171213;18;3862,839
20171213;19;4079,586
20171213;20;4230,187
20171213;21;4328,536
20171213;22;4358,563
20171213;23;4371,736
20171213;24;4461,825
20171214;1;4405,076
20171214;2;4344,589
20171214;3;4335,73
20171214;4;4472,378
20171214;5;4578,438
20171214;6;4575,626
20171214;7;4628,801
20171214;8;4689,252
20171214;9;4614,504
20171214;10;4425,379
20171214;11;4309,528
20171214;12;4124,265
20171214;13;3891,775
20171214;14;3665,015
20171214;15;3496,737
20171214;16;3455,001
20171214;17;3502,229
20171214;18;3615,679
20171214;19;3724,505
20171214;20;3575,763
20171214;21;3442,192
20171214;22;3411,84
20171214;23;3389,603
20171214;24;3378,539
20171215;1;3243,968
20171215;2;2928,006
20171215;3;2670,829
20171215;4;2372,778
20171215;5;2209,673
20171215;6;1928,663
20171215;7;1800,118
20171215;8;1574,323
20171215;9;1358,16
20171215;10;1124,274
20171215;11;913,25
20171215;12;834,564
20171215;13;744,986
20171215;14;745,95
20171215;15;773,308
20171215;16;896,164
20171215;17;1016,626
20171215;18;1048,7
20171215;19;961,176
20171215;20;888,101
20171215;21;816,592
20171215;22;762,389
20171215;23;704,697
20171215;24;695,489
20171216;1;623,462
20171216;2;566,801
20171216;3;480,485
20171216;4;472,115
20171216;5;474,776
20171216;6;493,525
20171216;7;503,988
20171216;8;488,74
20171216;9;534,06
20171216;10;583,34
20171216;11;608,437
20171216;12;681,826
20171216;13;763,567
20171216;14;846,951
20171216;15;958,828
20171216;16;1103,212
20171216;17;1186,84
20171216;18;1197,151
20171216;19;1296,929
20171216;20;1235,093
20171216;21;1252,554
20171216;22;1346,427
20171216;23;1232,454
20171216;24;1174,6
20171217;1;1121,718
20171217;2;996,654
20171217;3;895,566
20171217;4;806,542
20171217;5;702,176
20171217;6;620,904
20171217;7;544,54
20171217;8;430,86
20171217;9;374,375
20171217;10;278,01
20171217;11;167,561
20171217;12;112,073
20171217;13;82,135
20171217;14;72,199
20171217;15;75,359
20171217;16;73,736
20171217;17;81,649
20171217;18;87,587
20171217;19;102,621
20171217;20;117,61
20171217;21;109,372
20171217;22;106,083
20171217;23;89,961
20171217;24;102,446
20171218;1;105,874
20171218;2;94,861
20171218;3;101,233
20171218;4;91,409
20171218;5;79,071
20171218;6;76,531
20171218;7;73,833
20171218;8;89,994
20171218;9;98,458
20171218;10;88,897
20171218;11;46,944
20171218;12;33,082
20171218;13;61,104
20171218;14;90,979
20171218;15;108,72
20171218;16;116,495
20171218;17;129,308
20171218;18;156,631
20171218;19;208,861
20171218;20;268,11
20171218;21;336,447
20171218;22;391,424
20171218;23;433,774
20171218;24;464,81
20171219;1;472,385
20171219;2;440,337
20171219;3;448,273
20171219;4;469,528
20171219;5;475,749
20171219;6;523,427
20171219;7;528,562
20171219;8;512,637
20171219;9;526,513
20171219;10;474,551
20171219;11;448,363
20171219;12;439,299
20171219;13;408,785
20171219;14;360,395
20171219;15;339,972
20171219;16;300,973
20171219;17;261,675
20171219;18;257,409
20171219;19;269,696
20171219;20;242,634
20171219;21;246,182
20171219;22;210,809
20171219;23;203,755
20171219;24;214,094
20171220;1;281,697
20171220;2;348,046
20171220;3;379,333
20171220;4;343,708
20171220;5;318,506
20171220;6;363,821
20171220;7;381,545
20171220;8;375,095
20171220;9;370,856
20171220;10;354,456
20171220;11;366,136
20171220;12;399,533
20171220;13;391,871
20171220;14;374,223
20171220;15;334,91
20171220;16;294,986
20171220;17;336,623
20171220;18;381,234
20171220;19;397,535
20171220;20;426,962
20171220;21;532,087
20171220;22;621,027
20171220;23;660,9
20171220;24;724,7
20171221;1;804,946
20171221;2;905,627
20171221;3;1028,238
20171221;4;1180,121
20171221;5;1360,014
20171221;6;1462,774
20171221;7;1529,514
20171221;8;1650,627
20171221;9;1670,849
20171221;10;1912,452
20171221;11;1943,94
20171221;12;1917,714
20171221;13;1935,652
20171221;14;1977,818
20171221;15;2001,177
20171221;16;2175,254
20171221;17;2465,228
20171221;18;2687,351
20171221;19;2862,64
20171221;20;2958,649
20171221;21;3121,388
20171221;22;3262,062
20171221;23;3308,203
20171221;24;3308,215
20171222;1;3473,088
20171222;2;3584,966
20171222;3;3565,615
20171222;4;3383,552
20171222;5;3325,951
20171222;6;3398,848
20171222;7;3363,327
20171222;8;3331,916
20171222;9;3101,442
20171222;10;3009,39
20171222;11;3013,778
20171222;12;3249,255
20171222;13;3364,877
20171222;14;3308,314
20171222;15;3093,536
20171222;16;3041,261
20171222;17;3071,279
20171222;18;3121,873
20171222;19;3171,936
20171222;20;3315,253
20171222;21;3313,002
20171222;22;3351,889
