Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20171110;22;4402,252;
20171110;23;4461,015;
20171110;24;4583,301;
20171111;1;4697,275;
20171111;2;4657,975;
20171111;3;4666,829;
20171111;4;4631,586;
20171111;5;4525,487;
20171111;6;4531,740;
20171111;7;4538,952;
20171111;8;4629,151;
20171111;9;4511,963;
20171111;10;4537,550;
20171111;11;4606,202;
20171111;12;4659,065;
20171111;13;4578,439;
20171111;14;4395,451;
20171111;15;3966,077;
20171111;16;3769,615;
20171111;17;3595,166;
20171111;18;3532,672;
20171111;19;3342,203;
20171111;20;3387,875;
20171111;21;3198,339;
20171111;22;3124,953;
20171111;23;2949,091;
20171111;24;3025,024;
20171112;1;3034,114;
20171112;2;3028,202;
20171112;3;2999,350;
20171112;4;2882,116;
20171112;5;2982,979;
20171112;6;2921,729;
20171112;7;3076,943;
20171112;8;2992,666;
20171112;9;2808,428;
20171112;10;2657,729;
20171112;11;2494,587;
20171112;12;2236,942;
20171112;13;2016,111;
20171112;14;1777,843;
20171112;15;1525,539;
20171112;16;1226,477;
20171112;17;1131,566;
20171112;18;1181,136;
20171112;19;1199,341;
20171112;20;1062,611;
20171112;21;935,440;
20171112;22;936,888;
20171112;23;830,415;
20171112;24;765,240;
20171113;1;696,701;
20171113;2;638,164;
20171113;3;577,337;
20171113;4;526,338;
20171113;5;510,964;
20171113;6;487,299;
20171113;7;539,527;
20171113;8;525,374;
20171113;9;472,699;
20171113;10;413,626;
20171113;11;436,937;
20171113;12;520,625;
20171113;13;654,764;
20171113;14;738,316;
20171113;15;781,376;
20171113;16;866,978;
20171113;17;1023,267;
20171113;18;1145,264;
20171113;19;1249,438;
20171113;20;1315,202;
20171113;21;1424,553;
20171113;22;1382,174;
20171113;23;1357,181;
20171113;24;1237,012;
20171114;1;1145,828;
20171114;2;1138,402;
20171114;3;1055,802;
20171114;4;1006,291;
20171114;5;952,679;
20171114;6;959,917;
20171114;7;968,392;
20171114;8;1106,563;
20171114;9;1152,542;
20171114;10;1039,401;
20171114;11;1086,862;
20171114;12;1320,040;
20171114;13;1439,213;
20171114;14;1473,715;
20171114;15;1509,488;
20171114;16;1788,877;
20171114;17;2107,264;
20171114;18;2580,478;
20171114;19;2867,541;
20171114;20;3086,765;
20171114;21;3141,549;
20171114;22;3216,028;
20171114;23;3189,074;
20171114;24;3052,613;
20171115;1;2992,554;
20171115;2;2777,279;
20171115;3;2561,013;
20171115;4;2290,576;
20171115;5;2229,667;
20171115;6;2039,255;
20171115;7;1864,949;
20171115;8;1781,916;
20171115;9;1640,564;
20171115;10;1503,216;
20171115;11;1405,723;
20171115;12;1371,330;
